Retweet_Count,Favorite_Count
62,142
99,268
155,292
470,869
96,206
127,151
58,157
147,280
156,341
90,95
169,205
92,114
127,206
256,277
64,77
69,170
951,1552
54,98
113,162
105,2
261,585
737,706
160,223
59,130
63,96
80,213
276,301
118,277
56,84
277,534
105,110
165,148
170,221
133,344
672,1043
69,130
130,155
137,143
69,117
95,102
105,165
91,100
102,299
142,158
58,94
141,316
58,0
169,194
101,216
72,222
259,562
233,292
157,442
368,942
948,0
762,1670
505,1411
1637,3608
792,1573
431,0
3080,4254
95,279
370,796
187,421
204,322
92,261
379,825
63,0
250,532
1385,2357
137,0
52,144
91,0
94,0
65,163
205,237
89,0
75,97
91,110
144,272
62,177
59,108
168,153
78,147
56,82
117,103
157,290
66,107
162,192
164,359
100,133
71,275
104,193
142,178
139,260
63,0
103,179
332,412
62,86
121,259
170,162
216,314
152,332
56,59
286,353
192,240
86,97
375,209
65,137
90,133
179,176
527,629
2393,2132
128,180
311,0
95,0
1446,890
3065,1876
136,387
175,346
459,841
77,99
204,194
238,145
198,200
134,149
2558,1579
168,137
451,404
253,121
73,127
134,0
79,185
89,227
329,273
99,162
114,80
85,0
106,158
73,130
196,200
186,212
72,128
817,560
121,165
105,105
119,212
182,170
280,218
140,268
64,101
64,109
477,344
226,241
81,123
69,86
78,102
121,272
205,224
155,160
135,232
177,339
124,189
118,190
145,144
333,219
164,172
110,357
69,100
54,115
146,461
164,232
277,233
117,214
79,143
285,524
131,298
191,207
338,0
149,156
114,217
83,182
67,0
146,394
366,341
157,294
754,1489
61,124
1042,0
163,306
112,176
135,0
66,158
252,422
378,238
159,0
606,461
167,124
63,80
57,0
72,0
552,429
96,202
67,145
100,0
175,0
100,228
75,245
503,976
750,1395
443,254
1070,1527
84,75
302,0
96,174
102,280
144,298
75,0
70,83
144,101
58,84
150,480
69,102
76,123
82,0
424,227
104,104
656,755
83,125
81,101
100,154
178,180
63,0
59,96
351,0
991,1464
290,466
250,507
211,182
110,0
92,207
137,246
184,103
62,105
80,221
151,156
95,144
204,400
158,101
149,228
56,130
184,157
121,197
85,195
256,159
85,101
252,615
723,1415
239,121
108,203
134,94
713,1833
175,154
110,142
74,129
226,171
85,66
80,176
287,144
111,63
64,107
152,83
65,135
283,148
91,133
206,385
151,223
67,156
90,224
130,110
111,150
99,224
123,246
88,120
60,0
218,272
93,0
115,115
216,771
210,0
114,356
208,271
152,268
61,0
297,435
132,157
112,330
776,0
174,642
194,318
427,1507
174,313
579,1198
272,739
1035,1629
442,832
266,530
175,339
261,670
552,1172
101,0
102,278
353,1210
380,858
186,552
86,0
171,329
347,964
237,269
187,224
99,133
207,0
810,0
94,103
415,604
133,118
372,0
93,122
59,94
103,129
136,228
109,143
186,353
126,126
115,163
207,322
298,311
90,263
302,111
68,121
88,113
133,342
149,152
69,106
1139,629
120,182
181,89
92,169
189,268
794,1077
210,148
301,453
657,538
149,160
168,182
202,165
114,186
201,257
61,0
73,128
132,156
67,96
65,0
95,220
66,0
69,106
111,216
80,129
159,203
71,137
65,83
88,110
152,180
73,132
155,90
316,257
90,253
166,141
62,0
52,136
95,201
119,107
202,138
285,380
83,108
389,603
117,202
114,152
75,117
211,278
227,282
95,193
77,88
196,176
129,107
58,59
985,580
131,86
344,313
193,93
161,253
175,205
81,143
67,0
111,63
80,87
282,305
98,115
225,240
101,105
750,323
155,251
91,153
110,238
131,133
103,152
62,98
227,406
110,113
228,121
217,204
70,68
179,267
383,300
52,0
157,197
116,215
91,183
108,202
228,322
130,370
126,310
316,504
145,143
472,852
70,158
162,315
465,655
155,161
132,382
283,584
117,166
137,267
172,375
117,81
184,263
118,381
51,90
148,333
73,115
247,467
127,254
359,352
183,340
201,419
232,390
88,101
107,289
181,109
98,185
145,215
58,124
82,138
424,626
202,455
263,393
56,152
71,127
348,0
105,187
136,272
130,0
88,0
133,217
207,245
95,173
60,0
333,411
285,291
435,515
136,0
71,114
121,0
94,166
80,92
339,0
167,323
149,141
136,161
87,160
63,0
184,329
993,621
825,1047
598,0
89,110
145,379
88,146
220,436
77,120
263,259
102,227
109,275
105,0
240,178
225,163
174,376
1470,0
112,195
129,196
206,409
149,213
117,111
96,162
73,71
115,155
133,206
62,125
112,186
111,145
76,117
93,106
63,119
54,0
329,316
68,123
250,344
195,248
81,218
176,414
129,389
157,88
88,132
231,373
74,197
55,78
164,301
266,266
385,932
99,200
136,518
111,272
71,93
96,117
354,713
141,97
210,566
93,182
121,390
325,484
260,380
103,127
167,280
107,253
89,199
75,76
240,582
76,99
64,134
132,295
369,556
195,151
193,266
150,271
465,648
98,118
244,454
91,249
241,395
65,130
152,128
76,291
64,149
93,184
131,93
191,393
816,0
98,183
515,612
193,360
127,190
120,274
107,153
82,108
85,155
191,240
124,323
82,0
164,240
218,347
171,400
105,146
713,1117
167,357
90,93
207,208
257,303
108,146
228,503
217,404
117,228
131,0
122,0
182,377
81,106
191,196
114,231
71,243
63,0
96,150
546,538
448,0
119,129
155,264
249,368
53,0
204,220
145,225
230,335
228,821
152,240
325,544
290,439
258,124
110,192
119,188
92,0
180,131
79,194
154,180
103,159
125,404
76,81
184,385
52,99
51,0
94,228
54,109
57,121
62,55
56,78
119,238
99,175
262,587
105,169
241,198
54,0
433,714
111,225
79,108
62,100
153,242
121,196
406,337
355,598
129,102
174,302
82,187
385,686
1848,3901
159,265
55,104
163,287
1124,901
148,0
128,271
102,189
347,641
288,163
211,256
314,600
373,449
124,310
83,208
266,639
183,0
258,385
1034,1618
205,108
207,308
722,1113
292,242
476,533
152,286
116,89
145,93
201,257
256,0
105,108
86,211
74,167
263,193
106,115
169,141
260,0
238,180
79,131
93,161
723,1296
204,336
52,0
389,257
159,78
221,132
222,0
73,155
127,0
295,144
125,115
308,137
300,195
117,179
447,139
706,256
591,896
309,0
253,167
61,0
140,310
97,229
1058,1478
141,299
66,154
215,216
179,152
92,111
205,108
85,69
225,208
92,84
160,77
99,245
385,659
331,245
125,139
123,130
97,79
350,421
372,632
87,130
252,260
56,119
545,795
730,1296
79,135
106,93
55,124
635,747
58,77
191,404
100,115
119,136
66,64
504,565
195,117
87,107
56,0
113,167
102,92
72,0
1414,2175
59,0
85,92
68,105
54,0
95,121
230,166
98,56
82,197
139,154
107,128
116,146
66,0
205,464
53,79
83,132
294,313
85,133
345,0
97,136
267,376
159,132
421,472
160,0
76,139
244,658
81,0
837,809
105,0
90,0
67,154
72,110
76,0
135,240
182,226
75,101
66,157
265,0
314,0
54,83
54,84
164,123
274,745
109,104
131,106
59,84
819,1113
91,82
60,0
90,115
273,374
133,210
106,210
288,286
154,164
99,330
292,232
100,109
162,350
203,124
87,220
162,109
451,215
190,0
131,172
475,1045
301,345
93,137
330,435
193,0
281,257
313,578
298,144
128,183
153,198
98,106
173,155
179,212
114,217
86,119
250,408
136,128
258,195
88,104
251,188
63,89
64,116
65,92
56,0
69,123
125,109
89,73
77,185
102,66
332,550
136,221
304,206
87,143
105,68
118,99
113,102
91,93
59,78
99,102
63,0
114,321
88,153
243,406
115,152
264,0
